code,name,A,B,C,D,E,F
600711,盛屯矿业,783142485,32153006,28783432,300,0,0
600716,凤凰股份,370536347,19529608,23478553,8300,0,0
600717,天津港,456609885,7597049,7090325,5800,0,13900
600718,东软集团,1482447780,83103012,76057194,330090,91900,3400
600720,祁连山,516541159,27763541,16608166,6000,0,0
600728,佳都科技,1001994417,93931209,124972905,0,0,0
600729,重庆百货,696818187,65437992,48030610,500,0,0
600730,中国高科,569630822,39888342,33877288,36900,0,0
600737,中粮屯河,1169272832,91564312,60458567,249700,71600,0
600739,辽宁成大,2346342040,105959059,79299289,199312,17600,33300
600740,山西焦化,524443235,106557914,100253983,3927075,329935,95000
600741,华域汽车,768374638,11618141,18980854,16034,0,0
600742,一汽富维,651469272,23379538,15575311,0,0,0
600743,华远地产,364887018,46384660,40707713,130000,90000,0
600744,华银电力,335517487,6980760,11057366,0,0,0
600747,大连控股,722080613,37638757,33201325,0,0,0
600748,上实发展,680950998,24646108,22990351,66400,0,0
600750,江中药业,727761236,31609173,31465997,10100,4500,0
600751,天海投资,766556267,31246954,36666019,59000,0,0
600755,厦门国贸,1001294368,46897455,44170947,50000,0,15000
600756,浪潮软件,1030229785,31151315,39535416,2000,0,0
600757,长江传媒,643305876,12570838,13253903,596724,233800,73276
600759,洲际油气,669191105,0,1219801,0,0,0
600761,安徽合力,319013461,10402349,15955696,9700,0,0
600765,中航重机,1055317673,16749377,16320175,77300,0,2000
600770,综艺股份,1409544338,33656551,30264590,0,0,0
600771,广誉远,374179684,23080096,24642471,9000,0,0
600773,西藏城投,605037112,0,4655062,0,0,0
600775,南京熊猫,760045765,0,9859526,0,0,0
600776,东方通信,597312661,24368198,23298814,0,0,0
600777,新潮能源,1139399797,37972102,39562005,0,0,0
600783,鲁信创投,1113583659,178602418,175996395,85900,12000,0
600787,中储股份,687534344,21677035,19728083,41900,37900,0
600789,鲁抗医药,563093028,34618674,38980933,0,0,0
600790,轻纺城,474002407,40040750,29347479,0,0,0
600795,国电电力,1134470347,32706412,43287123,414200,0,0
600797,浙大网新,774376594,15505945,24850907,5000,0,0
