name,ticktime,price,volume,prev_price,kind
亚太药业,15:00:20,34.62,330700,34.65,E
亚厦股份,15:00:20,16.24,510652,16.21,E
国创高新,15:00:20,9.85,367100,9.81,E
双箭股份,15:00:20,18.35,180000,18.34,E
大北农,15:00:20,12.36,586796,12.35,E
黑牛食品,15:00:20,19.42,278588,19.42,E
信邦制药,15:00:20,14.94,502400,14.91,E
北京利尔,15:00:20,8.2,642300,8.2,E
梦洁家纺,15:00:20,9.84,229720,9.84,E
四维图新,15:00:20,44.56,871904,44.54,E
多氟多,15:00:20,71.88,417136,71.76,E
广联达,15:00:20,19.3,354000,19.28,E
海康威视,15:00:20,34.65,294400,34.65,E
达实智能,15:00:20,23.31,341300,23.3,E
科伦药业,15:00:20,18.35,202600,18.28,U
贵州百灵,15:00:20,26.85,247994,26.85,U
云南锗业,15:00:20,19.9,635784,19.9,E
兆驰股份,15:00:20,13.79,993352,13.78,U
九安医疗,15:00:20,27.17,280494,27.16,E
太安堂,15:00:20,15.03,275200,15.02,E
兴森科技,15:00:20,21.09,274700,21.05,E
江苏神通,15:00:20,26.85,301100,26.86,E
启明星辰,15:00:20,34.8,313800,34.8,E
闰土股份,15:00:20,18.98,202900,18.98,U
盛路通信,15:00:20,35.42,606318,35.41,E
赣锋锂业,15:00:20,60.99,510116,60.99,E
沪电股份,15:00:20,6.85,586700,6.84,E
海格通信,15:00:20,17.52,853900,17.52,E
中超控股,15:00:20,10.75,1262856,10.74,E
榕基软件,15:00:20,25.22,567300,25.19,E
立讯精密,15:00:20,34.02,159200,34.02,E
雏鹰农牧,15:00:20,17.54,535600,17.53,E
富春环保,15:00:20,14.61,293100,14.61,E
嘉麟杰,15:00:20,6.78,617000,6.77,E
浙江永强,15:00:20,12.22,1762736,12.21,E
山东墨龙,15:00:20,10.3,261558,10.3,E
佳隆股份,15:00:20,7.45,627704,7.44,E
汉缆股份,15:00:20,8.06,1226896,8.06,E
科林环保,15:00:20,26.23,268320,26.23,E
大康牧业,15:00:20,7.52,408500,7.52,E
光正集团,15:00:20,9.51,379206,9.51,U
